timestamp,ch1
1707751647.152,29570.396789359667
1707751647.156,29430.63133128063
1707751647.1599998,29250.588029693132
1707751647.164,29057.826585510564
1707751647.168,28841.52875441656
1707751647.172,28645.392196821238
1707751647.1759999,28486.337183277272
1707751647.18,28379.384086058628
1707751647.184,28255.44366305395
1707751647.188,28096.85803614355
1707751647.192,27952.35400823999
1707751647.1959999,27837.197820806246
1707751647.2,27774.076494464458
1707751647.204,27710.82105765594
1707751647.208,27623.60455079133
1707751647.212,27547.005122542992
1707751647.2159998,27488.309441603356
1707751647.22,27482.788560722896
1707751647.224,27452.457243497043
1707751647.228,27379.501149594922
1707751647.232,27321.45366924449
1707751647.236,27286.093209516195
1707751647.24,27293.849264842185
1707751647.2440002,27287.434314183512
1707751647.2480001,27217.451002293947
1707751647.252,27146.730082837355
1707751647.256,27084.949861162888
1707751647.2600002,27063.268669041237
1707751647.2640002,27042.235677508794
1707751647.2680001,26991.34075538406
1707751647.272,26945.18440308385
1707751647.276,26912.7520218792
1707751647.2800002,26928.353539509004
1707751647.2840002,26944.5585542391
1707751647.288,26915.009548069185
1707751647.292,26894.915329803865
1707751647.296,26891.786085580123
1707751647.3000002,26917.512943448182
1707751647.3040001,26902.358460707484
1707751647.308,26843.349855345474
1707751647.312,26788.856302363434
1707751647.316,26758.52498513758
1707751647.32,26777.613374902416
1707751647.3240001,26789.705668652736
1707751647.328,26743.683426819258
1707751647.332,26690.218054082165
1707751647.336,26652.868289097347
1707751647.3400002,26647.213297750153
1707751647.344,26621.866419537833
1707751647.348,26563.975401398588
1707751647.352,26502.86573205778
1707751647.356,26456.82113847985
1707751647.3600001,26455.725903001538
1707751647.364,26439.90086792718
1707751647.368,26388.26833823542
1707751647.372,26344.615381314205
1707751647.376,26324.565866537796
1707751647.38,26341.843765001748
1707751647.384,26333.30539861982
1707751647.388,26282.209310794988
1707751647.392,26243.63019986513
1707751647.396,26225.502935111876
1707751647.3999999,26245.328932443732
1707751647.404,26265.221985008957
1707751647.408,26242.311446942265
1707751647.412,26210.862542493647
1707751647.416,26185.582719514696
