timestamp,ch1
1709667115.83,-38710.02509713473
1709667115.8339999,-38709.443951778885
1709667115.8379998,-38714.65190823697
1709667115.842,-38715.65773673746
1709667115.846,-38692.74719867077
1709667115.85,-38683.69474216637
1709667115.8539999,-38688.58977420208
1709667115.858,-38699.095094096076
1709667115.862,-38699.96681212984
1709667115.866,-38673.25647750574
1709667115.87,-38669.61314315953
1709667115.8739998,-38683.20300378835
1709667115.878,-38694.71415218284
1709667115.882,-38699.095094096076
1709667115.886,-38677.41390197443
1709667115.8899999,0.0
1709667115.8939998,-3698.341989319562
1709667115.898,-3708.8026057246457
1709667115.902,-3710.635448769981
1709667115.906,-3710.8589662145337
1709667115.91,-3712.624754026503
1709667115.914,-3712.1330156484864
1709667115.918,-3713.250602871252
1709667115.9220002,-3709.987248180777
1709667115.926,-3706.9027074459445
1709667115.93,-3707.170928379408
1709667115.934,-3705.7180649898132
1709667115.9380002,-3708.5790882800925
1709667115.9420002,-3705.11456788952
1709667115.946,-3697.403216052439
1709667115.95,-3693.2681433282073
1709667115.954,-3693.1563846059307
1709667115.9580002,-3697.7384922192687
1709667115.9620001,-3694.028102639688
1709667115.966,-3683.701596701336
1709667115.97,-3680.39353852195
1709667115.974,-3675.409099508417
1709667115.9780002,-3670.7822884061684
1709667115.982,-3659.3158435005957
1709667115.986,-3651.0680497965873
1709667115.99,-3644.496636926727
1709667115.994,-3639.668660124381
1709667115.998,-3638.8863490684453
1709667116.002,-3635.24301472223
1709667116.006,-3628.0904564965317
1709667116.01,-3625.8105785620905
1709667116.014,-3630.86207280899
1709667116.0180001,-3648.0058608062104
1709667116.022,-3651.9621195747995
1709667116.026,-3656.633634165959
1709667116.03,-3660.6792999123695
1709667116.034,-3668.569465705093
1709667116.038,-3673.0398145961544
1709667116.042,-3673.598608207537
1709667116.046,-3677.398404764939
1709667116.05,-3684.8638874130115
1709667116.054,-3692.2623148277185
1709667116.058,-3702.0970823880534
1709667116.062,-3709.629620269492
1709667116.066,-3709.339047591573
1709667116.07,-3705.11456788952
1709667116.074,-3706.4780243012938
1709667116.0779998,-3712.244774370763
1709667116.082,-3710.568393536615
1709667116.086,-3710.2331173697853
1709667116.09,-3712.4682918153158
1709667116.0939999,-3718.6373732849806
1709667116.098,-3726.21461465533
1709667116.102,-3728.1368646784863
1709667116.106,-3728.0698094451204
1709667116.11,-3734.7082775483464
1709667116.1139998,-3735.4458851153718
1709667116.118,-3736.78698978269
1709667116.122,-3735.714106048835
1709667116.126,-3732.1601786804413
1709667116.1299999,-3734.4847601037936
1709667116.1339998,-3736.5634723381368
1709667116.138,-3739.759771795246
1709667116.142,-3739.5139026062375
1709667116.146,-3738.955108994855
1709667116.15,-3741.212635184841
1709667116.154,-3747.0911439765864
1709667116.158,-3750.309795178151
1709667116.1620002,-3748.164027710441
1709667116.1660001,-3742.7772572967124
1709667116.17,-3738.820998528123
1709667116.174,-3739.268033417229
1709667116.1780002,-3741.0338212291986
1709667116.1820002,-3743.939548008388
1709667116.186,-3741.682021818402
1709667116.19,-3745.526521864715
1709667116.194,-3749.818056800134
1709667116.1980002,-3751.025051000721
1709667116.2020001,-3748.6334143440026
1709667116.206,-3747.404068398961
1709667116.21,-3749.9074637779554
1709667116.214,-3754.310757435651
1709667116.2180002,-3759.541065638193
1709667116.2220001,-3759.518713893737
1709667116.226,-3753.953129524366
1709667116.23,-3750.4886091337935
1709667116.234,-3756.3894696699945
1709667116.238,-3765.017243029743
1709667116.242,-3762.044461017187
1709667116.246,-3756.635338859003
1709667116.25,-3756.9035597924662
1709667116.254,-3761.5080191502598
1709667116.2580001,-3767.0959552640866
1709667116.262,-3760.882170305511
1709667116.266,-3752.9025975349664
1709667116.27,-3753.4390394018938
1709667116.274,-3756.1659522254413
1709667116.278,-3761.5080191502598
1709667116.282,-3758.7364028378015
1709667116.286,-3756.07654524762
1709667116.29,-3760.0328040162094
1709667116.294,-3761.0386325166983
1709667116.298,-3766.1795337414187
1709667116.302,-3767.3194727086393
1709667116.306,-3767.8782663200222
1709667116.31,-3772.169801255441
1709667116.314,-3778.428289702927
1709667116.3179998,-3781.959865326866
1709667116.322,-3779.814097859156
1709667116.326,-3777.6012751580806
1709667116.33,-3777.8694960915445
1709667116.3339999,-3779.1882490144076
1709667116.338,-3785.826717117634
1709667116.342,-3784.977350828332
1709667116.346,-3777.2436472467957
1709667116.35,-3778.65180714748
1709667116.3539999,-3783.2562665052733
1709667116.358,-3797.427272489938
1709667116.362,-3789.2465340192957
1709667116.366,-3773.8908855785
1709667116.37,-3766.783030841712
1709667116.3739998,-3764.2349319738073
1709667116.378,-3765.5983883855806
1709667116.382,-3762.491495906293
1709667116.386,-3756.009490014254
1709667116.39,-3750.622719600525
1709667116.394,-3751.0921062340867
1709667116.398,-3754.5789783691143
1709667116.4020002,-3751.6732515899243
1709667116.4060001,-3745.54887360917
1709667116.41,-3744.878321275511
1709667116.414,-3749.818056800134
1709667116.4180002,-3754.914254535944
1709667116.4220002,-3750.2427399447847
1709667116.426,-3748.5887108550924
1709667116.43,-3750.98034751181
1709667116.434,-3750.8015335561677
1709667116.4380002,-3755.987138269799
1709667116.4420002,-3758.3564231820615
1709667116.446,-3757.6411673594916
1709667116.45,-3757.864684804045
1709667116.454,-3758.825809815623
1709667116.4580002,-3764.2349319738073
1709667116.4620001,-3763.6090831290585
1709667116.466,-3756.7470975812794
1709667116.47,-3759.4069551714606
1709667116.474,-3759.6751761049245
1709667116.478,-3762.7373650953014
1709667116.482,-3759.4516586603713
1709667116.486,-3756.9035597924662
1709667116.49,-3758.624644115525
1709667116.494,-3760.6363011165026
1709667116.4980001,-3767.8335628311115
1709667116.502,-3765.620740130036
1709667116.506,-3760.4127836719495
1709667116.51,-3763.5643796401478
1709667116.514,-3765.978368041321
1709667116.5180001,-3769.264074476251
1709667116.522,-3766.5371616527036
1709667116.526,-3764.301987207173
1709667116.53,-3764.167876740441
1709667116.534,-3762.3797371840164
1709667116.538,-3767.073603519631
1709667116.542,-3768.9287983094214
1709667116.546,-3766.2242372303294
1709667116.55,-3765.4419261743938
1709667116.554,-3768.2582459757623
1709667116.5579998,-3769.7781645987234
1709667116.562,-3767.69945236438
1709667116.566,-3762.715013350846
1709667116.57,-3763.2961587066843
1709667116.574,-3765.7772023412235
1709667116.578,-3768.1688389979413
1709667116.582,-3768.1241355090306
1709667116.586,-3764.883132563011
1709667116.59,-3765.710147107857
1709667116.5939999,-3768.1464872534857
1709667116.598,-3775.500211179282
1709667116.602,-3773.2203332448407
1709667116.606,-3769.55464715417
1709667116.61,-3769.7334611098127
1709667116.6139998,-3768.526466909226
1709667116.618,-3772.7956501001895
1709667116.622,-3770.582827399114
1709667116.626,-3766.112478508053
1709667116.63,-3766.98419654181
1709667116.634,-3768.1688389979413
1709667116.638,-3770.9628070548547
1709667116.6420002,-3773.0415192891983
1709667116.6460001,-3773.399147200483
1709667116.65,-3774.6284931455248
1709667116.654,-3773.2203332448407
1709667116.6580002,-3775.1872867569077
1709667116.6620002,-3775.5449146681926
1709667116.6660001,-3769.4875919208043
1709667116.67,-3769.398184942983
1709667116.674,-3774.784955356712
1709667116.6780002,-3780.7752228707345
1709667116.6820002,-3782.0939757935976
1709667116.686,-3778.1824205139187
1709667116.69,-3780.1940775148964
1709667116.694,-3782.6751211494357
1709667116.6980002,-3785.4467374618935
1709667116.7020001,-3782.98804557181
1709667116.706,-3781.9375135824102
1709667116.71,-3780.8646298485555
1709667116.714,-3781.043443804198
1709667116.718,-3784.3738537280387
1709667116.7220001,-3787.793670629701
1709667116.726,-3782.8986385939884
1709667116.73,-3779.456469947871
1709667116.734,-3777.400109457983
1709667116.7380002,-3780.4175949594496
1709667116.742,-3783.5468391831923
1709667116.746,-3783.0998042940864
1709667116.75,-3782.3174932381507
1709667116.754,-3783.591542672103
1709667116.7580001,-3785.4243857174383
1709667116.762,-3786.4525659623823
1709667116.766,-3776.3048739796727
1709667116.77,-3768.9958535427877
1709667116.774,-3775.6119699015585
1709667116.778,-3785.1338130395193
1709667116.782,-3786.296103751195
1709667116.786,-3784.239743261307
1709667116.79,-3790.207659030874
1709667116.794,-3799.215412046363
1709667116.7979999,-3807.4855574948265
1709667116.802,-3806.2338598053293
1709667116.806,-3797.7625486567676
1709667116.81,-3792.755757898779
1709667116.814,-3787.3913392295053
1709667116.818,-3790.5652869421588
1709667116.822,-3790.2523625197846
1709667116.826,-3784.329150239128
1709667116.83,-3783.7927083722007
1709667116.8339999,-3786.229048517829
1709667116.838,-3787.7713188852454
1709667116.842,-3786.1619932844633
1709667116.846,-3782.6080659160693
1709667116.85,-3780.104670537075
1709667116.8539999,-3779.456469947871
1709667116.858,-3780.976388570832
1709667116.862,-3782.004568815776
1709667116.866,-3778.5624001696588
1709667116.87,-3779.724690881335
1709667116.8739998,-3782.0269205602317
1709667116.8779998,-3786.6760834069355
1709667116.882,-3789.8723828640445
1709667116.886,-3787.0337113182204
1709667116.8899999,-3783.658597905469
1709667116.8939998,-3781.0881472931087
1709667116.898,-3780.5293536817258
1709667116.902,-3780.171725770441
1709667116.906,-3772.9968158002875
1709667116.9099998,-3770.627530888025
1709667116.9139998,-3773.2873884782066
1709667116.918,-3780.8869815930107
1709667116.922,-3787.3689874850497
1709667116.9259999,-3788.397167729994
1709667116.9299998,-3791.9957985872984
1709667116.9339998,-3792.375778243039
1709667116.938,-3796.8684788785554
1709667116.942,-3797.7849004012232
1709667116.9459999,-3791.3252462536393
1709667116.95,-3787.458394462871
1709667116.954,-3789.5818101861255
1709667116.958,-3793.9404003549103
1709667116.9620001,-3791.2805427647286
1709667116.966,-3785.893772351
1709667116.97,-3786.1172897955526
1709667116.974,-3788.196002029896
1709667116.9780002,-3789.2241822748406
1709667116.982,-3792.1969642873964
1709667116.986,-3787.7713188852454
1709667116.99,-3785.916124095455
1709667116.994,-3787.0560630626755
1709667116.9980001,-3789.693568908402
1709667117.002,-3788.888906108011
1709667117.006,-3784.619722917047
1709667117.01,-3783.278618249729
1709667117.014,-3787.458394462871
1709667117.0180001,-3792.1522607984857
1709667117.022,-3790.8335078756227
1709667117.026,-3783.1668595274523
1709667117.03,-3781.1775542709297
1709667117.034,-3788.821850874645
1709667117.0379999,-3798.7460254128014
1709667117.042,-3801.919973125455
1709667117.046,-3796.4661474783597
1709667117.05,-3790.431176475427
1709667117.054,-3789.6041619305806
1709667117.058,-3790.65469391998
1709667117.062,-3789.3135892526616
1709667117.066,-3783.0998042940864
1709667117.07,-3782.27278974924
1709667117.074,-3785.334978739617
1709667117.078,-3791.146432297997
1709667117.082,-3790.9452665978993
1709667117.086,-3784.329150239128
1709667117.09,-3777.757737369268
1709667117.0939999,-3776.3495774685834
1709667117.098,-3777.5118681802596
1709667117.102,-3778.115365280553
1709667117.106,-3774.3826239565165
1709667117.11,-3773.0638710336534
1709667117.1139998,-3772.4156704444495
1709667117.1179998,-3775.120231523542
1709667117.122,-3775.455507690371
1709667117.126,-3770.6722343769356
1709667117.1299999,-3772.505077422271
1709667117.1339998,-3774.472030934338
1709667117.138,-3779.009435058765
1709667117.142,-3777.9589030693655
1709667117.146,-3770.7839930992122
1709667117.1499999,-3768.7723360982345
1709667117.1539998,-3775.3437489680946
1709667117.158,-3774.9637693123545
1709667117.162,-3775.6119699015585
1709667117.166,-3770.4710686768376
1709667117.1699998,-3768.5711703981365
1709667117.1739998,-3766.403051185972
1709667117.178,-3766.358347697061
1709667117.182,-3768.07943202012
1709667117.1859999,-3763.0279377732204
1709667117.19,-3762.089164506098
1709667117.194,-3767.6100453865583
1709667117.198,-3769.532295409715
1709667117.2020001,-3772.147449510986
1709667117.206,-3766.425402930427
1709667117.21,-3768.2582459757623
1709667117.214,-3766.98419654181
1709667117.2180002,-3763.2291034733184
1709667117.2220001,-3757.0600220036536
1709667117.226,-3751.3826789120058
1709667117.23,-3749.5498358666705
1709667117.234,-3748.6334143440026
1709667117.2380002,-3749.16985621093
1709667117.242,-3743.3136991636397
1709667117.246,-3728.4721408453156
1709667117.25,-3724.694696032369
1709667117.254,-3722.951259964855
1709667117.2580001,-3726.0581524441427
1709667117.262,-3724.1806059098967
1709667117.266,-3722.750094264757
1709667117.27,-3724.9405652213773
1709667117.274,-3727.0639809446316
1709667117.2779999,-3734.0600769591424
1709667117.282,-3736.4517136158606
1709667117.286,-3730.304983890651
1709667117.29,-3725.566414066126
1709667117.294,-3728.181568167397
1709667117.298,-3733.5459868366706
1709667117.302,-3732.6519170584584
1709667117.306,-3726.616946055525
1709667117.31,-3725.5217105772153
1709667117.314,-3724.270012887718
1709667117.318,-3728.0027542117546
1709667117.322,-3728.628603056503
1709667117.326,-3726.4604838443383
1709667117.33,-3727.7792367672014
1709667117.3339999,-3727.8462920005672
1709667117.338,-3730.7073152908465
1709667117.342,-3731.0425914576763
1709667117.346,-3725.8346349995895
1709667117.35,-3725.052323943654
1709667117.3539999,-3724.8511582435563
1709667117.3579998,-3728.1145129340307
1709667117.362,-3730.439094357383
1709667117.366,-3727.5780710671033
1709667117.37,-3728.0921611895756
1709667117.3739998,-3729.50032109026
1709667117.378,-3736.8987485049665
1709667117.382,-3743.7607340527456
1709667117.386,-3736.049382215665
1709667117.3899999,-3729.6791350459025
1709667117.3939998,-3725.924041977411
1709667117.398,-3722.0348384421873
1709667117.402,-3711.8647947150225
1709667117.406,-3699.727797475791
1709667117.4099998,-3708.4449778133608
1709667117.4139998,-3710.2554691142404
1709667117.418,-3711.68598075938
1709667117.422,-3717.6762482734025
1709667117.4259999,-3721.140768663975
1709667117.43,-3723.8676814875225
1709667117.434,-3722.2583558867404
1709667117.438,-3726.1922629108744
1709667117.4420002,-3725.789931510679
1709667117.446,-3716.245736628263
1709667117.45,-3711.618925526014
1709667117.454,-3710.8589662145337
1709667117.4580002,-3718.123283162509
1709667117.4620001,-3720.626678541503
1709667117.466,-3714.7481697497574
1709667117.47,-3712.5800505375923
1709667117.474,-3718.2797453736957
1709667117.4780002,-3719.2855738741846
1709667117.482,-3717.564489551126
1709667117.486,-3710.3225243476063
1709667117.49,-3704.7792917226902
1709667117.494,-3707.5509080351485
1709667117.4980001,-3718.235041884785
1709667117.502,-3716.893937217467
1709667117.506,-3713.3176581046177
1709667117.51,-3716.849233728556
1709667117.514,-3729.0756379456093
1709667117.518,-3736.1834926823967
1709667117.522,-3741.302042162662
1709667117.526,-3746.0629637316424
1709667117.53,-3749.5498358666705
1709667117.534,-3758.4458301598825
1709667117.538,-3762.0221092727315
1709667117.542,-3761.798591828179
1709667117.546,-3757.015318514743
1709667117.55,-3756.277710947718
1709667117.554,-3753.729612079813
1709667117.558,-3754.1989987133743
1709667117.562,-3751.986176012299
1709667117.566,-3747.180550954408
1709667117.57,-3746.889978276489
1709667117.574,-3750.1533329669637
1709667117.578,-3757.462353403849
1709667117.582,-3764.3243389516283
1709667117.586,-3753.4390394018938
1709667117.59,-3751.2932719341843
1709667117.5939999,-3754.0648882466426
1709667117.5979998,-3758.5128853932483
1709667117.602,-3765.1513534964747
1709667117.606,-3766.3806994415168
1709667117.61,-3765.330167452117
1709667117.6139998,-3758.0211470152317
1709667117.618,-3758.4234784154273
1709667117.622,-3765.8889610634997
1709667117.626,-3765.7995540856787
1709667117.6299999,-3759.9881005272987
1709667117.6339998,-3759.2504929602737
1709667117.638,-3760.7033563498685
1709667117.642,-3756.568283625637
1709667117.646,-3748.9016352774665
1709667117.6499999,-3747.9405102658884
1709667117.6539998,-3751.2038649563633
1709667117.658,-3755.562455125148
1709667117.662,-3755.5177516362373
1709667117.666,-3754.176646968919
1709667117.67,-3753.0590597461537
1709667117.674,-3755.4730481473266
1709667117.678,-3767.632397131014
1709667117.6820002,-3761.9550540393657
1709667117.686,-3752.07558299012
1709667117.69,-3754.668385346936
1709667117.694,-3758.490533648793
1709667117.6980002,-3762.5138476507486
1709667117.7020001,-3761.9327022949105
1709667117.706,-3758.6469958599805
1709667117.71,-3754.5119231357485
1709667117.714,-3761.485667405804
1709667117.7180002,-3767.788859342201
1709667117.7220001,-3772.0803942776197
1709667117.726,-3770.98515879931
1709667117.73,-3775.0308245457204
1709667117.734,-3773.2873884782066
1709667117.7380002,-3777.780089113723
1709667117.742,-3777.9589030693655
1709667117.746,-3765.687795363402
1709667117.75,-3760.8374668166
1709667117.754,-3761.3068534501617
1709667117.758,-3763.9667110403434
1709667117.762,-3766.358347697061
1709667117.766,-3754.8248475581227
1709667117.77,-3745.571225353626
1709667117.774,-3738.463370616838
1709667117.778,-3736.854045016056
1709667117.782,-3738.7986467836677
1709667117.786,-3737.949280494366
1709667117.79,-3746.6664608319356
1709667117.794,-3747.6052340990586
1709667117.798,-3746.241777687285
1709667117.802,-3751.494437634282
1709667117.806,-3754.958958024855
1709667117.81,-3761.6644813614466
1709667117.814,-3767.9006180644774
1709667117.818,-3762.4467924173828
1709667117.822,-3756.8141528146452
1709667117.826,-3755.8306760586115
1709667117.83,-3758.4234784154273
1709667117.8339999,-3759.228141215818
1709667117.8379998,-3762.5138476507486
1709667117.842,-3763.5867313846034
1709667117.846,-3758.0882022485976
1709667117.85,-3751.5838446121033
1709667117.8539999,-3746.9570335098547
1709667117.858,-3746.9570335098547
1709667117.862,-3758.4234784154273
1709667117.866,-3765.4419261743938
1709667117.87,-3762.9385307953994
1709667117.8739998,-3757.1494289814746
1709667117.878,-3750.1309812225086
1709667117.882,-3748.4769521328158
1709667117.886,-3743.984251497299
1709667117.8899999,-3737.8598735165447
1709667117.8939998,-3738.2845566611954
1709667117.898,-3743.7160305638354
1709667117.902,-3742.307870663151
1709667117.906,-3736.429361871405
1709667117.91,-3731.176701924408
1709667117.914,-3727.175739666908
1709667117.918,-3725.4099518549388
1709667117.9220002,-3725.789931510679
1709667117.926,-3727.1086844335423
1709667117.93,-3729.9697077238216
1709667117.934,-3726.3487251220618
1709667117.9380002,-3729.634431556992
1709667117.9420002,-3729.589728068081
1709667117.946,-3725.7675797662237
