timestamp,ch1
1707818455.359,-4644.044297223603
1707818455.363,-4725.069370874092
1707818455.3669999,-4659.958739275782
1707818455.371,-4511.4313973702665
1707818455.375,-4337.624232485799
1707818455.379,-4402.243125706092
1707818455.383,-4488.36439709239
1707818455.387,-4442.833893636929
1707818455.391,-4305.750644892531
1707818455.395,-4130.088285218273
1707818455.399,-4202.932620398119
1707818455.4029999,-4297.972237822084
1707818455.407,-4272.1112694872945
1707818455.411,-4200.652742463678
1707818455.415,-4107.378912851681
1707818455.419,-4229.2629753664705
1707818455.4229999,-4354.097468149361
1707818455.427,-4339.904110420241
1707818455.431,-4245.915024985674
1707818455.435,0.0
1707818455.439,-6743.655412632873
1707818455.4429998,-6845.1099807155115
1707818455.4469998,-6955.058211691166
1707818455.451,-6937.221519615832
1707818455.455,-6837.711553300805
1707818455.4589999,-6730.467883404242
1707818455.4629998,-6828.927317729869
1707818455.467,-6937.2662231047425
1707818455.471,-6920.681228718905
1707818455.475,-6804.452157551308
1707818455.4789999,-6679.841182212971
1707818455.4829998,-6758.5863779290175
1707818455.487,-6864.220722224799
1707818455.491,-6847.188692949855
1707818455.495,-6758.094639551001
1707818455.4989998,-6663.099725615946
1707818455.5029998,-6772.802087402593
1707818455.507,-6904.587972711083
1707818455.511,-6908.298362290664
1707818455.5149999,-6817.304410613109
1707818455.519,-6718.509700120652
1707818455.523,-6809.749520987216
1707818455.527,-6937.4450370603845
1707818455.5310001,-6924.481025276306
1707818455.535,-6814.1751663893665
1707818455.539,-6699.510717333641
1707818455.543,-6790.05763412209
1707818455.5470002,-6891.93688534938
1707818455.551,-6875.374242707997
1707818455.555,-6778.702947938794
1707818455.559,-6680.757603735638
1707818455.563,-6795.9808464027465
1707818455.5670002,-6920.167138596433
1707818455.571,-6903.269219788221
1707818455.575,-6794.77385220216
1707818455.579,-6682.1657636363225
1707818455.583,-6761.179180285833
1707818455.5870001,-6860.465629156307
1707818455.591,-6838.1809399343665
1707818455.595,-6721.571889111029
1707818455.599,-6604.9181347987815
1707818455.603,-6699.08603418899
1707818455.6069999,-6826.692143284338
1707818455.611,-6829.217890407788
1707818455.615,-6750.517398180652
1707818455.619,-6653.264958055611
1707818455.623,-6740.727334109228
1707818455.627,-6830.670753797383
1707818455.631,-6784.380291030442
1707818455.635,-6633.461312468209
1707818455.639,-6486.9903310525815
1707818455.643,-6551.609224272875
1707818455.647,-6646.380620763376
1707818455.651,-6627.40398972082
1707818455.655,-6538.846378188894
1707818455.659,-6455.273205670501
1707818455.6629999,-6571.256407649089
1707818455.667,-6702.863479001937
1707818455.671,-6702.483499346197
1707818455.675,-6592.222343948168
1707818455.679,-6459.408278394732
1707818455.6829998,-6538.332288066422
1707818455.6869998,-6651.096838843446
1707818455.691,-6631.628469422873
1707818455.695,-6528.519872250542
1707818455.699,-6438.688211284663
1707818455.7029998,-6536.499445021087
1707818455.707,-6645.620661451896
1707818455.711,-6608.717931356184
1707818455.715,-6469.108935488336
1707818455.7189999,-6326.840082030307
1707818455.7229998,-6386.474536237066
1707818455.727,-6480.955360049648
1707818455.731,-6463.588054607875
1707818455.735,-6367.8331813613395
1707818455.7389998,-6270.848962169763
1707818455.7429998,-6384.529934469454
1707818455.747,-6536.074761876436
1707818455.751,-6559.767610999062
1707818455.7549999,-6481.089470516381
1707818455.759,-6379.813716389384
1707818455.763,-6463.90097903025
1707818455.767,-6566.1155064243685
1707818455.7710001,-6547.854131204383
1707818455.775,-6443.0244497089925
1707818455.779,-6326.169529696647
1707818455.783,-6402.970123645083
1707818455.7870002,-6522.417846014243
1707818455.7910001,-6517.053427344969
1707818455.795,-6414.257754595013
1707818455.799,-6308.332837621312
1707818455.803,-6399.103271854315
1707818455.8070002,-6507.553935951464
1707818455.811,-6511.264325531045
1707818455.815,-6419.733931986562
1707818455.819,-6315.932430736117
1707818455.823,-6390.542553727932
1707818455.8270001,-6514.438273243699
1707818455.831,-6516.874613389327
1707818455.835,-6411.12851037127
1707818455.839,-6299.794471239385
1707818455.843,-6366.983815072038
1707818455.847,-6482.7658513505285
1707818455.851,-6493.42763345571
1707818455.855,-6410.390902804244
1707818455.859,-6330.304602420879
1707818455.863,-6443.13620843127
1707818455.867,-6556.168980141757
1707818455.871,-6561.734564511128
1707818455.875,-6486.364482207833
1707818455.879,-6392.487155495543
1707818455.883,-6492.064177043936
1707818455.887,-6593.250524193111
1707818455.891,-6575.056204206491
1707818455.895,-6499.060273058448
1707818455.899,-6421.455016309621
1707818455.9029999,-6508.0009708405705
1707818455.907,-6627.091065298447
1707818455.911,-6629.259184510611
1707818455.915,-6539.829854944927
1707818455.919,-6436.140112416758
1707818455.9229999,-6501.80953762645
1707818455.9269998,-6612.540079658042
1707818455.931,-6626.420512964787
1707818455.935,-6547.25063410409
1707818455.939,-6459.8106097949285
1707818455.9429998,-6542.556767768475
1707818455.947,-6678.880057201392
1707818455.951,-6705.277467403111
1707818455.955,-6615.870489581882
1707818455.9589999,-6509.81146214145
1707818455.9629998,-6577.313730396478
1707818455.967,-6684.356234592943
1707818455.971,-6658.562321491519
1707818455.975,-6554.716116752162
1707818455.9789999,-6435.782484505473
1707818455.9829998,-6510.794938897484
1707818455.987,-6600.090157996436
1707818455.991,-6591.082404980946
1707818455.995,-6518.461587245654
1707818455.999,-6441.772752019496
1707818456.003,-6552.995032429103
1707818456.007,-6682.031653169591
1707818456.0110002,-6705.5233365921185
1707818456.015,-6660.819847681505
1707818456.019,-6598.816108562482
1707818456.023,-6716.878022775415
1707818456.0270002,-6884.359643979031
1707818456.0310001,-6925.397446798975
1707818456.035,-6862.723155346293
1707818456.039,-6766.05186057709
1707818456.043,-6830.223718908277
1707818456.0470002,-6939.389638827996
1707818456.051,-6935.2098626148545
1707818456.055,-6824.121692671978
1707818456.059,-6703.690493546784
1707818456.063,-6771.259817035177
1707818456.0670002,-6847.59102435005
1707818456.071,-6820.746579259227
1707818456.075,-6725.639906601895
1707818456.079,-6617.032780293558
1707818456.083,-6701.187098167789
1707818456.087,-6805.860317451992
1707818456.091,-6813.951648944813
1707818456.095,-6759.949834340791
1707818456.099,-6690.078281173502
1707818456.103,-6789.029453877146
1707818456.107,-6935.27691784822
1707818456.111,-6973.0960694666
1707818456.115,-6901.861059887536
1707818456.119,-6817.796148991126
1707818456.123,-6904.900897133458
1707818456.127,-7027.969602104378
1707818456.131,-7028.796616649225
1707818456.135,-6941.3789440845185
1707818456.139,-6834.336439888053
1707818456.143,-6889.344082992564
1707818456.147,-6979.131040469532
1707818456.151,-6964.982386229323
1707818456.155,-6859.057469255623
1707818456.159,-6750.472694691742
1707818456.1629999,-6836.079875955567
1707818456.1669998,-6967.7316507973255
1707818456.171,-6980.695662581404
1707818456.175,-6913.0816356041005
1707818456.179,-6832.950631731825
1707818456.1829998,-6923.542252009184
1707818456.187,-7047.527378502772
1707818456.191,-7043.2805470562635
1707818456.195,-6962.18841817241
1707818456.199,-6867.864056571014
1707818456.2029998,-6950.18553139991
1707818456.207,-7065.4087740670175
1707818456.211,-7064.067669399699
1707818456.215,-6987.758813829281
1707818456.2189999,-6883.890257345469
1707818456.2229998,-6958.388621615008
1707818456.227,-7056.4233727959845
1707818456.231,-7048.019116880789
1707818456.235,-6949.783199999714
1707818456.239,-6831.87774799797
1707818456.243,-6901.503431976251
1707818456.247,-7010.043503051223
1707818456.2510002,-7011.138738529532
1707818456.255,-6934.561662025651
1707818456.259,-6841.444294624841
1707818456.263,-6925.218632843332
1707818456.2670002,-7016.681971154449
1707818456.2710001,-6997.459470922884
1707818456.275,-6905.482042489296
1707818456.279,-6797.411358047886
1707818456.283,-6891.445146971363
1707818456.2870002,-7011.988104818834
1707818456.2910001,-7023.588660191138
1707818456.295,-6969.542142098206
1707818456.299,-6885.879562601992
1707818456.303,-6971.352633399086
1707818456.3070002,-7059.217340852898
1707818456.311,-7031.501177728317
1707818456.315,-6927.856138689058
1707818456.319,-6812.2976198551205
1707818456.323,-6885.656045157439
1707818456.327,-6996.520697655761
1707818456.331,-6992.877363309546
1707818456.335,-6918.043722873178
1707818456.339,-6817.796148991126
1707818456.343,-6889.79111788167
1707818456.3470001,-7012.256325752298
1707818456.351,-7024.169805546976
1707818456.355,-6954.812342502159
1707818456.359,-6863.594873380051
1707818456.363,-6959.126229182033
1707818456.367,-7095.382463381585
1707818456.371,-7105.172527453009
1707818456.375,-7027.634325937549
1707818456.379,-6927.833786944603
1707818456.383,-6992.81030807618
1707818456.387,-7093.393158125063
1707818456.391,-7087.604056311137
1707818456.395,-6991.178630730943
1707818456.399,-6873.183771751377
1707818456.4029999,-6948.576205799128
1707818456.4069998,-7063.687689743959
1707818456.411,-7061.340756576152
