timestamp,ch1
1707817980.759,325.10612310244125
1707817980.763,0.0
1707817980.767,-10388.442622237519
1707817980.7710001,-10137.946622126892
1707817980.775,-9922.29699162209
1707817980.779,-9786.800716734018
1707817980.783,-9695.717358078642
1707817980.7870002,-9632.059589869928
1707817980.7910001,-9688.989482997595
1707817980.795,-9790.086423168948
1707817980.799,-9946.928614011838
1707817980.803,-10107.145918267479
1707817980.8070002,-10300.197935127966
1707817980.811,-10473.043975000855
1707817980.815,-10566.429563335128
1707817980.819,-10412.269581826877
1707817980.823,-10129.207090044867
1707817980.8270001,-9877.459392244744
1707817980.831,-9676.450154358168
1707817980.835,-9526.805225229888
1707817980.839,-9374.053403622318
1707817980.843,-9181.336662928661
1707817980.847,-9064.74996384978
1707817980.851,-9063.610024882559
1707817980.855,-9198.659264881524
1707817980.859,-9410.442043595558
1707817980.863,-9637.021677139006
1707817980.867,-9903.253305346168
1707817980.871,-10230.84047208315
1707817980.875,-10509.186745785088
1707817980.879,-10641.956107849612
1707817980.883,-10649.332183519862
1707817980.887,-10580.444107108606
1707817980.891,-10515.579344699305
1707817980.895,-10480.21888497101
1707817980.899,-10390.163706560577
1707817980.9029999,-10252.3204985047
1707817980.907,-10101.222705986824
1707817980.911,-10016.822518923584
1707817980.915,-9917.424311330833
1707817980.919,-9754.16716982927
1707817980.9229999,-9644.487159787079
1707817980.9269998,-9627.924517145697
1707817980.931,-9711.743558853097
1707817980.935,-9856.918139090318
1707817980.939,-9900.772261711629
1707817980.9429998,-9886.087165604493
1707817980.947,-9831.258336455625
1707817980.951,-9845.295231973558
1707817980.955,-9850.212615753724
1707817980.9589999,-9822.94348751825
1707817980.9629998,-9761.431486777245
1707817980.967,-9744.578271457944
1707817980.971,-9796.881353483363
1707817980.975,-9847.195130252258
1707817980.9789999,-9883.695528947776
1707817980.9829998,-9861.276729259102
1707817980.987,-9804.257429153613
1707817980.991,-9787.627731278864
1707817980.995,-9725.132253781827
1707817980.999,-9569.385298417246
1707817981.003,-9337.307135737794
1707817981.007,-9132.945136182921
1707817981.0110002,-9007.484794555283
1707817981.015,-8965.016480090198
1707817981.019,-9009.183527133886
1707817981.023,-9145.462113077892
1707817981.0270002,-9389.43140380757
1707817981.0310001,-9699.49480289159
1707817981.035,-10083.833048800594
1707817981.039,-10432.430855325563
1707817981.043,-10758.252234250574
1707817981.0470002,-10999.114632500963
1707817981.051,-11202.224934366339
1707817981.055,-11353.702706539954
1707817981.059,-11421.87552712864
1707817981.063,-11390.068994768739
1707817981.0670002,-11316.330589810681
1707817981.071,-11285.552237695723
1707817981.075,-11283.987615583852
1707817981.079,-11335.687200508977
1707817981.083,-11440.36041979318
1707817981.087,-11622.102453959282
1707817981.091,-11845.597546767896
1707817981.095,-12021.148147719878
1707817981.099,-12049.177235266834
1707817981.103,-11958.026821378091
1707817981.107,-11790.18757226319
1707817981.111,-11595.77209899093
1707817981.115,-11412.823070624241
1707817981.119,-11239.664106328977
1707817981.123,-11083.313653864105
1707817981.127,-10965.251739651172
1707817981.131,-10939.524881783114
1707817981.135,-10951.706582511257
1707817981.139,-10976.628777578924
1707817981.143,-10962.591882060991
1707817981.147,-10959.015602948142
1707817981.151,-11038.94544112032
1707817981.155,-11121.95982002733
1707817981.159,-11194.960617418363
1707817981.1629999,-11246.302574432204
1707817981.1669998,-11373.551055616266
1707817981.171,-11595.883857713206
1707817981.175,-11888.11056472189
1707817981.179,-12132.370428129487
1707817981.1829998,-12343.482654509862
1707817981.187,-12592.324625530795
1707817981.191,-12867.966338153641
1707817981.195,-13111.578000972033
1707817981.199,-13258.38425855449
1707817981.2029998,-13331.07213152315
1707817981.207,-13391.89122818604
1707817981.211,-13483.175752541514
1707817981.215,-13530.315581597755
1707817981.2189999,-13524.77234897284
1707817981.2229998,-13486.707328165452
1707817981.227,-13507.270933064334
1707817981.231,-13670.349260610255
1707817981.235,-13895.163106341734
1707817981.239,-14142.507510484162
1707817981.243,-14383.101687801087
